lack of oxygen to the blood during the infant's birth,infant methemoglobinemia,age of infant at disease presentation,thickening of the left ventricle,blood flow across the ductus arteriosus,mixing of oxygenated and deoxygenated blood,the state of the blood vessels in the lungs,low blood flow in the lungs,presence of an illness,low oxygen areas equally distributed around the body,hypoxia when breathing oxygen,level of CO2 in the body,having a chest x-ray,grunting in infants,report of having LVH,level of oxygen in the lower body,level of oxygen in the right up quadricep muscule,a document reporting high level of CO2 levels in blood,lung excessively filled with blood,report of infant grunting
0.16507316966291932,-0.15278865974226968,-0.026607225218626046,0.017582937533481793,-0.06118969473494665,0.05816851322976703,0.10031264925399364,0.04635963052391859,0.06972176899899139,-0.22339062419562175,-0.05002799548031144,0.03897416481650433,0.056761921513177695,0.23385128562572147,0.0032386923161825225,-0.02607394375086279,0.01908321527850397,-0.052101192580756975,-0.06956310839483235,0.13389749687712477
-0.020965778214269953,0.11284160278974066,-0.06600385620240687,0.15306451327172,0.20080670714430876,0.05357095725178075,-0.10106461385644858,0.005481164807469019,0.11525760551350564,0.20574838910848287,-0.19976089738945996,-0.10167409976047723,-0.03366520722936255,-0.0436982802966446,0.12516656556816735,0.31091888071131657,0.0761815454725382,-0.06762590901954252,0.22343756568775067,-0.07214130743812387
-0.00022913746928089173,-0.07493751922086654,-0.1119299145597189,0.04603063795669883,-0.2254368525372794,-0.16697227482038007,-0.17747966162096057,-0.33827979373701605,0.09023166582808509,-0.20200458277273825,0.022741861432957297,-0.27730855687716965,-0.16843444553928602,0.04508598702385778,0.028694652236426758,-0.01753742410793547,0.06839147973209818,0.20322717574812688,0.03637643114927303,0.06073469892820422
-0.047754637259034984,0.06852360042798311,-0.004712241445296805,-0.17380569928183393,0.06655264042265518,0.1688398375587818,0.18505560759296458,0.12862131981900132,0.014360068451363707,-0.1365445092082033,-0.14432801950987179,0.11109925193287709,0.06527643341069259,-0.06840442927552072,-0.019723290304159355,-0.08031172658692808,0.10967213755896174,-0.17742178054375712,-0.07538591680220864,0.08799564046895819
0.13117136627092998,-0.11504298920264734,-0.07543747153172238,-0.06395260335262663,-0.3936645561691197,0.05922783903448241,0.0372663102942417,-0.18417877416048703,-0.1855870829238664,-0.14444161036734524,0.14044261764189286,0.07202472985975847,0.19783827610593716,0.08645464896908309,-0.2520804809679673,-0.090411971504921,-0.12232712896617345,0.1737672849981069,0.028764978549333214,0.10012946721879717
-0.05736952958726946,-0.02734785938199811,-0.06771374162217408,0.08532492295140422,0.13091319956881686,-0.0920977558394313,-0.06742843653597605,0.11602016023729111,-0.055362566276389004,0.2900410665021139,0.07053179524959756,0.05175080038342948,0.008115310661614375,-0.1350705120878435,0.07903892950684777,0.010768641172661055,-0.178466164908857,0.077430069968153,0.031332383538803237,-0.16843428379232
0.1908135320207667,-0.15390008754949372,-0.22897818197586162,0.001519723562918407,0.009499982192287912,-0.08916978173390863,-0.027344562602135594,-0.14689345525384634,-0.20673417092619156,0.16151155852297389,-0.13289666351272866,-0.08246506756497933,-0.16124014358814703,-0.003992503324757035,0.10611141911987751,0.17793547200058946,0.0031502018350327704,0.10895521654376736,0.0025499796849994677,0.1280519468861613
0.07098368877001911,-0.11245451307604477,-0.04349661823220757,-0.024441176193839245,-0.184167462361914,-0.0057639146703542254,0.11213968669743324,-0.01892396816637007,-0.24768573134675764,0.03150063801669582,-0.2506645065708133,0.06634520673465155,0.04609061052297892,-0.019512742045627196,-0.06823221273281285,0.19629843080030787,-0.03955589043339908,-0.022918072625850154,-0.08122940882540032,-0.07994683076690084
-0.08270899460295544,0.02010044865559825,-0.13594156560997087,-0.006344427039880826,0.0044544389125908326,-0.14424353547930355,-0.12213770400637983,0.13875271939988768,0.19024779218160823,0.013876163925482646,0.0981268540081471,-0.1259567294590843,-0.26279748590591223,0.05564418552048221,-0.0357658364786558,0.12110613135333834,0.060192536428993755,0.062160845998879784,-0.018784688843345845,0.27605506273695096
-0.032494419545687346,-0.15335624178547794,-0.029212580063215518,0.0795527275076014,0.1533651341899488,0.08527311392999377,0.1273609269561459,-0.09204072415637013,-0.13207807932743298,0.11342901233712813,0.08274816158574308,0.09047133173834501,0.14145592548376865,-0.17374852596972562,0.008246426226037634,-0.08842942993733338,0.0027520178199088863,-0.09413275619519279,-0.03475440440008359,-0.2928831302096788
