visiting asia,tuberculosis,smoking cigarettes,lung cancer,bronchitis,individual has either tuberculosis or lung cancer,positive x-ray,dyspnoea or laboured breathing 
0.0527832535184162,0.042307737185738895,0.08132153519812763,998.4046863308258,998.4299461494638,-634.041921712264,478.2695935906523,-9082.577471808421
0.029120813855031735,0.05760945600638835,-0.009890091423336494,998.2847284332698,998.4330588798375,-634.0388336338233,478.3310789038014,-9087.564206008054
0.03272591855475884,0.011097609690534837,0.06994013643974237,998.2716833885017,998.27934624381,-634.0253219096223,478.2283759633078,-9001.495146132207
-0.057161422526298813,0.047675319760139584,0.08743093101382701,998.2528027120687,998.330713398732,-634.1856288811948,478.18348955085224,-8875.833302768418
0.065471520035703,0.025244801586737833,0.024633865941238037,998.4104831950654,998.2529502401184,-634.012450229292,478.2689356111434,-8997.124132708504
-0.010910131004617393,0.06249960581352826,0.09314923664466279,998.2688230032581,998.2790800275343,-634.083766406581,478.1749574591988,-8943.362938405458
0.028896585646736805,-0.04338074622600534,-0.07978790498157962,998.3801213495175,998.3502767613371,-634.0743052231035,478.35388206402206,-8998.854782660057
0.09330275775422911,-0.008948983675322385,0.016372517922856406,998.3860404488706,998.3025478793572,-634.0108317929778,478.2886265290933,-9030.864711760798
-0.002235623028109396,-0.0790915654074162,0.04694426196418125,998.4193638977243,998.3084414665897,-634.0486673474736,478.1849072660622,-8997.22106152375
0.07093381297606333,0.09196297626178492,0.004226437853072723,998.3991372567602,998.2693284097874,-634.1576052569636,478.3180043037849,-8863.946900077999
-0.004579641676890206,0.015739789560372797,-0.07000044160099109,998.2675381353276,998.3320234259542,-634.1068070615902,478.2668774855385,-8954.827439096858
0.018502939462163998,-0.015917380164511608,0.09776294605272023,998.3899803660921,998.3504349170178,-634.0473150189341,478.18809151582417,-9025.70058478005
-0.020949681771596132,-0.07649829803366731,0.0734888714670322,998.3861634182641,998.2546517725256,-634.1351611046606,478.21116130017964,-8876.700220236728
-0.02145298108615143,0.0811995716521773,-0.0783212903312556,998.3941527867823,998.2439215335254,-634.0346864386086,478.24686156149187,-8969.326286440211
-0.026369358356300276,0.052774199406989845,0.05886052699769115,998.2777383378508,998.3275082123155,-634.0564268976024,478.16603026023836,-9001.82661996536
0.052892793570718605,0.05183029245422279,-0.08599214931170676,998.3533368296404,998.4073278210558,-634.1314128317639,478.1921484955084,-8979.245033363695
-0.0656144712752029,-0.09809849496489581,-0.06180850514693648,998.279416093217,998.3811532092224,-634.0587794540304,478.3135332500221,-9034.330982996775
