level of pollution,smoking status,presence of cancer,x-ray,laboured breathing
0.09596072201762401,0.1803372311192888,-0.034244611831644026,0.04891351137928737,-0.1713237435197463
-0.08791186362343,-0.005086844545227735,0.031823202382064014,0.05413619153167073,-0.17032173224075883
0.03063510405589503,-0.025012408706248115,0.09938764665393449,0.00016834105500799015,0.003227416283830886
0.14560068638325077,-0.18782924715948535,0.08396820973426253,-0.157990980125988,0.04128513805305911
0.04234514294647683,0.04492285722940609,0.056407909149092314,-0.005257208340738877,0.008760816699708334
-0.09382009755861218,-0.08893352486012032,0.17517754748628486,-0.007087685504409746,-0.02412325915093068
-0.12148615718637218,0.11203479417679255,-0.1158812594454423,0.05657644934933571,-0.21852849270733787
-0.17143062782226737,0.06092629825653332,-0.18352466302623163,0.0430869372696106,-0.15928688325452683
-0.2107199634353849,0.15433139406615748,-0.3141265917352047,0.0542502981221169,-0.11840065832613697
0.05593475362790419,0.012242543126950804,0.2948704859185636,0.03371205011303452,0.08585733051015086
0.02989091236503598,-0.03778536782081666,-0.006469748557780146,-0.20012501957372308,0.0045945554519428305
0.16968830387846562,-0.17639561871131537,0.2135868348724141,-0.03979353876118363,0.16776975060667174
-0.14190046836613193,-0.11162104256027405,0.08907956570995812,0.06647993606609266,-0.0931194034181237
-0.012551398019957133,0.003242744796354948,0.029023966694311565,-0.025489546589606196,-0.01705721803201419
3.15594652593046e-05,0.15562083906110818,-0.12653217940041883,0.035517387542075424,0.03670958706307702
-0.15833733170026604,0.03451848565365013,-0.07388578145487343,0.1251117934187451,-0.06395953705644544
-0.13185464609877487,0.0825965520978247,-0.07950417800763843,-0.05348795011713388,-0.25373982803962636
0.14511483285629675,0.1238568310517979,0.11886510827069048,-0.039227239663919,0.14200111397322332
-0.007742754235774009,-0.045348099277268156,-0.030721311294484025,-0.06558224925902835,-0.11930364308463359
0.17335204260236511,-0.09505061247060165,0.052505283758853286,-0.08081453653983145,0.012844086897862546
-0.1783809496894466,-0.1169745978558161,0.08011279755726941,-0.148957537356088,0.05599711808222478
-0.058611164954210794,0.07070067024246164,0.09240757291276532,0.04679941167547327,0.040382015748737114
-0.1144418302803093,-0.0948960456402746,-0.13841304038525443,0.10764387578076179,-0.16813384618738175
-0.039686039248678744,-0.09702271123040028,0.09096015011363817,0.059091324259461356,0.11271151820528774
-0.007542282744000837,0.058156475625203555,-0.07798081927544087,-0.02631024970149544,-0.08757202449221413
-0.06783643140316287,0.07268907768708158,-0.07771281171796686,0.06984331295875411,0.034075065164307805
-0.004572497069726968,-0.05110654668053419,0.045700751651688964,-0.09753540419907822,0.04110291921877722
0.07372999222806662,-0.0002851461592880152,0.13867427833125304,-0.007988136800445324,0.18466064352918135
-0.1130674397912346,0.170079223223212,-0.1791788910736692,-0.0594230902622092,-0.0038448825727947777
0.014162132738446298,0.004980330900017483,0.002366785533680138,0.16101416803593904,-0.012650033079301234
-0.12390471366668704,0.033006601110733925,-0.23816657555304854,0.08166987278530477,-0.17377445575904976
0.04781433024237664,-0.1321215408806731,-0.008670621385314145,0.06480835020072002,-0.13371971423384849
-0.11940407603800073,0.07981529574337187,-0.057577651040207546,-0.05026727744705583,0.08708039142147647
-0.015346097270166094,-0.1262541126074336,0.06976007998897793,0.058081648585952904,0.17444711748940153
0.08578300082301493,0.03287638868320606,0.042217076681373436,-0.08692267104391659,0.15585134932910744
0.017452888930315096,-0.08018100129394617,0.08364860619673589,-0.22063196599533086,0.011563945127624944
0.03539910639328615,-0.044946605716927567,0.05709094655263096,-0.12195538182884773,0.2129123898817181
0.047804934523224304,-0.0804983561963768,0.28449129114436517,-0.06179309414166889,0.08931481080091833
