neighborhood education and income,supermarket characteristics,weight status and adiposity,household income,level of education,purchased food items,food preferences
1996.6025113500525,2937534.422520788,2380867.158160266,998.368815938812,0.0531589425119289,-2960150112949.2515,-0.02050462396627118
1996.6561001959628,2937691.9454331137,2380995.059725288,998.3618198793225,-0.030636206093402327,-2960467592692.092,0.05677092265557414
1996.6117646080902,2937561.531862805,2380889.2796924873,998.3749956350046,0.011478768559963798,-2960204749303.518,0.03525382646513133
1996.5065593797335,2937252.0524152415,2380638.4465676406,998.2993202286516,-0.015161801607095168,-2959581052269.0005,-0.07697730189991975
1996.6412851031391,2937648.441114834,2380959.6670567687,998.2348313447101,0.09909703121792748,-2960379909967.634,0.09760960611843104
1996.5971940398308,2937518.7392245894,2380854.5951853986,998.2599544422969,-0.09225395255191811,-2960118504799.5938,-0.056537049281692585
1996.5457192627707,2937367.206852047,2380731.761513189,998.2089577743649,-0.04856669890237042,-2959813116307.168,-0.05429140466538046
1996.5265797467148,2937310.912267529,2380686.121676331,998.1983275573788,0.08437676482821624,-2959699667887.244,0.0640890895626602
1996.652669934753,2937681.8657664782,2380986.8631380876,998.3665773617126,0.03644132009746884,-2960447277112.387,0.050747777463875494
1996.5197929807362,2937290.883651219,2380669.9091847176,998.3229551279729,-0.046137216300363916,-2959659305664.2354,0.003297122065822802
1996.5546593708941,2937393.544017008,2380752.9801665526,998.3743754805167,0.03693862912828133,-2959866193619.575,0.07640540248887147
1996.5197949934072,2937290.887425171,2380670.0058068344,998.3067259991234,0.0375715363601819,-2959659313245.4023,0.07695415837615226
1996.6165928490484,2937575.700149248,2380900.8539710655,998.3180976343734,-0.025555488148119324,-2960233304276.1343,-0.08531918490542922
1996.5387120420703,2937346.6468846286,2380714.95277087,998.2055929403974,-0.009718250914704754,-2959771682304.5376,0.08203208847058105
1996.5901703168558,2937498.004926292,2380837.731279854,998.2551981076175,0.0816542500258175,-2960076717315.835,-0.05040911863336032
1996.5982341404701,2937521.7698945506,2380856.9076799653,998.3567868634711,-0.0009889488039682426,-2960124612918.4463,-0.015506243151438177
1996.5946836099192,2937511.413337777,2380848.538390896,998.3283854990806,-0.03212414087166508,-2960103740426.9697,-0.07140536905808935
1996.6055801749799,2937543.394632524,2380874.5933212517,998.2669754507522,0.05206726362721978,-2960168195194.213,0.07179345598750846
1996.622426469415,2937592.910001471,2380914.706460474,998.3514198533699,-0.07378102088096283,-2960267989603.378,-0.06384798807005815
1996.6634926768488,2937713.8547285143,2381012.5260267924,998.2374771052869,0.04720370373738114,-2960511750972.303,0.006521033477784525
1996.549349271503,2937378.013555289,2380740.316234329,998.3647905222882,-0.08903088271683975,-2959834895139.6895,-0.006377274113391386
1996.6396040621278,2937643.4523586323,2380955.5919025834,998.2365940813568,-0.09324425629892784,-2960369855263.208,-0.0423892571172821
1996.4983897920774,2937227.9986218773,2380618.8208451066,998.2699201264935,-0.080347869782693,-2959532579135.1216,-0.055167116438258765
1996.6680188949608,2937727.0463503897,2381023.500894697,998.1850427518195,0.04354780355914881,-2960538338935.9404,-0.03195047561888599
1996.572809405763,2937446.875441949,2380796.4359961837,998.2659660218434,-0.05994236344496909,-2959973673285.1245,-0.02184766285235206
1996.5982802026745,2937521.9555341257,2380857.117972914,998.300876886905,-0.05614848414695226,-2960124986970.994,0.04447232058391961
