lack of oxygen to the blood during the infant's birth,infant methemoglobinemia,age of infant at disease presentation,thickening of the left ventricle,blood flow across the ductus arteriosus,mixing of oxygenated and deoxygenated blood,the state of the blood vessels in the lungs,low blood flow in the lungs,presence of an illness,low oxygen areas equally distributed around the body,hypoxia when breathing oxygen,level of CO2 in the body,having a chest x-ray,grunting in infants,report of having LVH,level of oxygen in the lower body,level of oxygen in the right up quadricep muscule,a document reporting high level of CO2 levels in blood,lung excessively filled with blood,report of infant grunting
-0.0435783047492964,994.630174859332,-467.5566077710638,-689276.8127658543,739605.807350885,878.5894049020092,878.5120144212123,878.59238162377,-467.4262501040196,-343.94656034119106,1043.8187483001384,-470620.15717168106,525.4104117974455,-324302.3856526692,334147778502.33563,1774.6465088849525,617.5438702083346,139117487471.45505,-675.7592214402822,29.383553474927254
-0.036827258902413645,994.7313478556873,-467.41057279732007,-689417.1391327372,739756.1045731293,878.7627476774061,878.5152756443651,878.6182239895303,-467.64905857537764,-343.89015903878874,1043.7201195408418,-470623.47679359076,525.5229937260599,-324330.8261652791,334283847251.28925,1774.3984407913852,617.6100316517126,139119450069.51343,-675.8043179198526,29.54793027977271
-0.09588541835943844,994.9666019371589,-467.31643291463104,-689743.1863309151,740105.9370082805,878.5731996300063,878.6599978114502,878.6052085443929,-467.51702733878534,-344.14233258252284,1043.914737256903,-470778.6448649281,525.4236258047879,-324413.22932325274,334600108854.09375,1774.5782362200525,617.6118145238813,139211202633.91003,-675.770243330854,29.370462746727178
-0.17101240964115147,994.6552811374249,-467.65979065449477,-689312.0421233088,739642.777559807,878.7103114931027,878.6093277531761,878.6136220369217,-467.64378827914095,-344.1665603991658,1043.9029263188856,-470724.4560726967,525.3560025870647,-324393.7046653519,334181936367.9887,1774.6305859386935,617.7171169656833,139179156776.10358,-675.8997626379761,29.499182041378106
-0.18015506075513174,994.7479467872378,-467.4049642123819,-689440.1257083864,739780.6318679304,878.7617000233964,878.7794641362414,878.7005513251037,-467.7825415560087,-343.9467549474528,1044.0113975244128,-470906.70344493847,525.3958634426117,-324524.8255114436,334306139035.28076,1774.570246524978,617.7516472510033,139286947843.58774,-675.8297182082974,29.271518242446362
-0.011941499281318615,994.9070884451518,-467.80645436771715,-689660.6858007578,740017.3725848607,878.9089311369182,878.5958743637656,878.7434976111444,-467.57689214170534,-344.0564508814025,1044.0111770489943,-470709.9376286893,525.3910721817525,-324376.65219816164,334520070265.77576,1774.6171625398338,617.707094269754,139170571568.1987,-675.6914194984677,29.419469088940126
-0.038238206426253585,994.5981773797811,-467.5911895521525,-689232.6844096864,739557.7759571056,878.7181428687971,878.680855562178,878.6591303944335,-467.5456126657073,-343.96348002804814,1043.93771413459,-470800.95852834865,525.5515901387481,-324430.2894350184,334104994761.55176,1774.6768485145851,617.6538458286474,139224399432.7174,-675.8793527940857,29.56044963586538
0.09676903902433075,994.817756647469,-467.5720196519284,-689537.0351488709,739884.3118189572,878.5679753682175,878.8641967167147,878.4699031998813,-467.61545167492716,-344.0168413537317,1044.0136806013322,-470997.5609122774,525.4628648697411,-324562.7494523141,334400127466.38873,1774.6232587376062,617.7456407576028,139340701506.60635,-675.6685361019817,29.452625798377305
-0.10015603870748534,994.8363862757492,-467.55261344633465,-689562.9746370363,739912.2266875559,878.5453989187334,878.6813502985073,878.640287415689,-467.4873532840963,-344.3022361108027,1043.8338057343824,-470801.62774507725,525.2642879959112,-324424.04743491724,334425287337.1833,1774.7295213900559,617.6767802560863,139224795232.18573,-675.791810496696,29.341060981408845
0.014602727152882373,994.7572632208321,-467.5082768111867,-689453.1823934191,739794.6479873848,878.582051797644,878.6353964684303,878.5353628360862,-467.47984705422806,-344.1142765252169,1043.9117238869283,-470752.5270216181,525.3140221425025,-324392.05624243425,334318801400.66614,1774.7425730706195,617.642932154097,139195756752.76987,-675.8769722686136,29.458212034749717
-0.06629262401663888,994.9097814798456,-467.4804678199642,-689664.4249516272,740021.3901009548,878.7331197192327,878.5161795060396,878.6431357628232,-467.51002508204647,-343.868904137985,1043.81550550495,-470624.67447493126,525.4782833864328,-324314.97618625,334523697627.62524,1774.622325245614,617.5808979940774,139120158155.54163,-675.8227315519562,29.38497802954206
0.048601785694196264,994.6546710548085,-467.57818955679903,-689310.8638303734,739641.880232735,878.7085795943133,878.6608353369686,878.733306544291,-467.51185404174186,-343.8305321929194,1043.8728381811159,-470779.6668679098,525.3575395421462,-324413.18324676657,334180793884.19794,1774.721229503797,617.7395348172685,139211807055.76297,-675.5789332662771,29.49824386253028
-0.053168247652011384,994.748363600293,-467.56408753733217,-689440.6767078845,739781.1707694733,878.5913641813574,878.5742323007789,878.6189834503655,-467.43874079003626,-344.069116852534,1043.9566186568773,-470686.8600723146,525.4555488553234,-324345.95251314796,334306673389.60016,1774.6201412092455,617.6873851197967,139156925635.9317,-675.7912151513116,29.690686539823
-0.12326605530879571,994.7794259170873,-467.6804599232565,-689483.8341909631,739827.4369388369,878.7130600787721,878.6244810619792,878.6003003254216,-467.59059530686085,-344.0148667402328,1044.087293029875,-470740.67052602256,525.3581892712198,-324397.7949332896,334348528437.17914,1774.608207168578,617.7172489291751,139188745200.0091,-675.8483025400681,29.519162209627094
0.031325759359728395,994.8069970298453,-467.37300327957286,-689521.978024891,739868.4427078222,878.5145276389038,878.6883949983363,878.6806673358025,-467.67067225953275,-344.0681258126303,1043.7569552082898,-470808.99109047407,525.3561406303755,-324450.32724068844,334385523322.01306,1774.623739121268,617.9928257533269,139229150222.56686,-675.7613093421612,29.551146724194584
