temperature,dew point temperature,relative humidity,transmission rate of a disease,rate of incidence of a disease in the population,rate of infection of a disease in the population,size of the susceptible population,observed incidence rate in the population
-0.030792523842409353,0.012953363063102845,0.18981392799450741,-0.08882846680507814,0.10913125612376642,-0.09476122477214906,0.04793033626208394,-0.1455196053927283
-0.05778969773461489,0.03615359279516583,0.0014020422604196468,0.08079514747028654,0.14779674578214866,-0.15192921211003158,-0.12592686707138143,-0.10712264065670948
-0.048009957073357167,0.15830573944627188,0.09862559207938403,-0.13710902411421638,-0.052665172317997624,0.06192475762200499,-0.13556131340015276,-0.08085923335384354
-0.1519393102781402,-0.19510180541690136,0.026849917386279343,-0.19029169391795048,-0.04659204521252147,0.056977679254039126,-0.03783768026676393,-0.018149005434648216
0.21450853596705502,-0.030762346354064947,0.047401799356773244,-0.1192042392808685,-0.21309050052727876,-0.2025668289091639,0.030030412847105767,-0.15426501801529474
-0.11882970110980572,0.06397032348941133,0.010120939464697616,0.017338645309344744,0.011442422923025358,-0.014287457243654478,0.10609950959984762,-0.17310804540683214
-0.06138169643560037,0.08020617181576933,-0.11899724375356854,-0.11309612923354455,-0.011838449427262657,-0.09071191816627214,-0.048430141859100655,-0.03670937052884128
-0.05128101061525774,0.09850705983409193,-0.035294355415648834,-0.02416389614342157,0.011344966126780036,0.1634034452614089,0.027841995062174236,0.0824178919641636
-0.0019203575285542684,-0.016420293808947852,0.03529044339913316,-0.12795864031032578,-0.43414899173014165,-0.23482804422058765,0.18834666171285896,0.17775456832717126
0.06481805149485681,0.04570460977186543,0.05541382495781637,0.05575574384393735,-0.04669853447483378,0.19270088023031517,0.11134380289172292,0.06588087595052189
-0.1007593195608217,-0.16184598575966583,-0.22646515919545634,0.008872055218732224,-0.0021611230317538505,0.21650105212677181,0.13992318479942517,-0.046256348367693316
-0.18766997387206477,0.00036561818817062964,-0.008501855186024032,-0.09800871790990982,-0.19872699522035975,-0.05991109915703861,0.011547708466108739,-0.016113315775718742
-0.11584363449780344,0.1255574502521213,0.19953899418234167,-0.045980826619245393,-0.16717934839056575,-0.02545386913520578,0.05525495468491951,0.266459958970855
-0.07185005335231885,-0.04333249080484585,-0.14117381966562562,0.048151036180784056,0.13404668030379346,0.02963546574581857,0.13092031375976385,-0.09262880280331162
0.17001145500561274,0.06949300971605848,0.12069102938562797,0.06397284133880163,0.11655327076809024,0.013598837981071305,-0.1240901138209734,-0.06697830266601784
-0.0563060137372704,0.06170383757282839,0.16187784161900234,-0.08425339768528316,-0.11939569573620568,-0.07329340036379414,0.004230468953353723,0.010544512576779009
