higher susceptibility to develop severe covid-19 infection,the use of ace inhibitors,hospitalization,death
-0.06764428792875232,-0.08818727223819599,-0.15757302203957396,0.21329115354475153
-0.07846549463689012,-0.04021297767389114,0.03822013494201585,0.07178852627326178
0.056843858759716065,-0.04860471956649819,-0.03960886262843537,-0.02696411117964423
0.02926995606643551,0.05695638843800041,0.12194747108056499,-0.05150380937223614
0.09415182974078484,0.03989721573189689,0.08235530041822506,-0.16065430322818253
0.09106526719104455,0.09295777279518691,-0.006079570236629472,-0.013910153170457185
0.08561968646026197,-0.08277811630098267,-0.04201176968685246,-0.09796496505394349
0.04498267493700328,0.05238592785679663,0.023923117155739013,-0.022253351050261883
0.06679347034970065,-0.01965646544125832,0.010858119601647568,-0.01628428332800267
0.0672196185581043,-0.003332488898074998,0.0771385501187603,-0.0411269297826745
-0.05075402551903563,0.04898190676581818,0.07220650357959389,-0.02817165238342046
0.08053938664536534,0.07720182869391853,0.11562426126996606,-0.20632240202460536
0.005443488055756979,-0.013742309683485956,0.08718802775398717,-0.08596375044133761
0.07133181665584573,-0.016404703528289863,-0.05714539028372919,-0.06420800862589666
-0.03792771461672189,-0.03410806410282048,0.03430007669129223,0.08302404407955123
-0.020206969827384166,-0.025346749164726165,-0.11186435796586831,0.20873773979370464
0.09277620470214515,0.008018331200889212,-0.07053044598969163,0.07947983950713516
0.07196373546062657,-0.0639920925721057,0.06190802746536519,0.0021616250497512313
0.029643681668692967,0.09330523181582892,0.10653348883464048,-0.055106261495842385
-0.09071047037653371,0.0039052557996629156,0.04691255968105271,0.010077234179045488
-0.04463325392214845,-0.08253897441520862,-0.03429281055563713,0.08981325381336638
-0.05359376946203873,-0.09841515190072035,-0.05966949357926145,0.05318813284855717
0.051816329310063275,0.06623995313613981,-0.022661580392908366,-0.027746915763142158
0.09511574611280102,-0.07733853440073135,-0.06190202846359914,0.06042391799618009
0.06889920750800715,0.052458277727545716,0.0013200389979561022,-0.07504987916147912
-0.08739530175825826,0.05745784915708679,0.03515487773527023,-0.00030234800665063753
0.08805070305593715,0.09374768375607506,0.13234808328342806,-0.15482655759173394
-0.07416438801651551,-0.013471640923431477,0.06671770413161428,-0.07762008650323707
